Construct;Timepoint;Leaf;Conductivity
CP105;0;A;26
CP105;0;A;27
CP105;0;A;15
CP105;1;A;19
CP105;1;A;30
CP105;1;A;16
CP105;2;A;21
CP105;2;A;31
CP105;2;A;18
CP105;3;A;22
CP105;3;A;32
CP105;3;A;19
CP105;4;A;24
CP105;4;A;33
CP105;4;A;21
CP105;5;A;27
CP105;5;A;35
CP105;5;A;23
CP106;0;A;12
CP106;0;A;17
CP106;0;A;16
CP106;1;A;18
CP106;1;A;22
CP106;1;A;19
CP106;2;A;28
CP106;2;A;31
CP106;2;A;31
CP106;3;A;49
CP106;3;A;53
CP106;3;A;54
CP106;4;A;82
CP106;4;A;91
CP106;4;A;80
CP106;5;A;127
CP106;5;A;149
CP106;5;A;110
CP105;0;B;13
CP105;0;B;13
CP105;0;B;13
CP105;1;B;16
CP105;1;B;15
CP105;1;B;15
CP105;2;B;18
CP105;2;B;17
CP105;2;B;17
CP105;3;B;19
CP105;3;B;18
CP105;3;B;18
CP105;4;B;22
CP105;4;B;20
CP105;4;B;20
CP105;5;B;26
CP105;5;B;25
CP105;5;B;22
CP106;0;B;28
CP106;0;B;27
CP106;0;B;19
CP106;1;B;32
CP106;1;B;33
CP106;1;B;24
CP106;2;B;50
CP106;2;B;49
CP106;2;B;40
CP106;3;B;86
CP106;3;B;78
CP106;3;B;66
CP106;4;B;143
CP106;4;B;124
CP106;4;B;108
CP106;5;B;220
CP106;5;B;200
CP106;5;B;166
CP105;0;D;13
CP105;0;D;12
CP105;0;D;12
CP105;1;D;13
CP105;1;D;13
CP105;1;D;13
CP105;2;D;17
CP105;2;D;14
CP105;2;D;15
CP105;3;D;18
CP105;3;D;17
CP105;3;D;16
CP105;4;D;20
CP105;4;D;19
CP105;4;D;19
CP105;5;D;23
CP105;5;D;22
CP105;5;D;20
CP106;0;D;19
CP106;0;D;19
CP106;0;D;23
CP106;1;D;22
CP106;1;D;25
CP106;1;D;27
CP106;2;D;34
CP106;2;D;39
CP106;2;D;37
CP106;3;D;74
CP106;3;D;83
CP106;3;D;67
CP106;4;D;134
CP106;4;D;141
CP106;4;D;105
CP106;5;D;181
CP106;5;D;200
CP106;5;D;156
